Date,CashIn,CashOut
1/1/2016,,6500
1/2/2016,,23110
1/3/2016,,7070
1/4/2016,,18520
1/5/2016,20840,22200
1/6/2016,28460,18810
1/7/2016,19250,23210
1/8/2016,49770,4350
1/9/2016,,
1/10/2016,19260,760
1/11/2016,27590,28440
1/12/2016,14060,14260
1/13/2016,22550,17240
1/14/2016,23310,8640
1/15/2016,35480,30510
1/16/2016,20930,18060
1/17/2016,33570,11130
1/18/2016,43810,17470
1/19/2016,8030,18000
1/20/2016,56670,22970
1/21/2016,44930,13030
1/22/2016,47600,4110
1/23/2016,,
1/24/2016,47130,7730
1/25/2016,32170,12730
1/26/2016,29350,8020
1/27/2016,26320,17820
1/28/2016,45630,12060
1/29/2016,12670,6760
1/30/2016,5430,3420
1/31/2016,15480,7280
2/1/2016,35310,3410
2/2/2016,,
2/3/2016,,
2/4/2016,24940,13310
2/5/2016,12210,25100
2/6/2016,21430,43020
2/7/2016,20270,9190
2/8/2016,58570,20170
2/9/2016,19620,19520
2/10/2016,24570,18500
2/11/2016,27040,11520
2/12/2016,32270,15820
2/13/2016,9110,24460
2/14/2016,29810,12900
2/15/2016,38830,42540
2/16/2016,22890,26830
2/17/2016,49080,27090
2/18/2016,25130,25190
2/19/2016,52020,15440
2/20/2016,9090,7200
2/21/2016,16680,16030
2/22/2016,38880,24270
2/23/2016,40360,21470
2/24/2016,39450,19920
2/25/2016,24100,14440
2/26/2016,18850,13860
2/27/2016,20060,28830
2/28/2016,7510,34530
2/29/2016,43120,18260
3/1/2016,31610,25390
3/2/2016,18640,19740
3/3/2016,8480,12500
3/4/2016,,33930
3/5/2016,,39010
3/6/2016,19060,9010
3/7/2016,45660,40060
3/8/2016,55980,36110
3/9/2016,41200,40510
3/10/2016,40870,23640
3/11/2016,39970,29170
3/12/2016,15540,36960
3/13/2016,21980,16100
3/14/2016,36040,25640
3/15/2016,24910,45410
3/16/2016,55170,26370
3/17/2016,30180,16050
3/18/2016,23820,14200
3/19/2016,15510,9760
3/20/2016,14060,8910
3/21/2016,44200,25490
3/22/2016,62020,27930
3/23/2016,48700,24670
3/24/2016,52750,12770
3/25/2016,61380,18080
3/26/2016,7670,10810
3/27/2016,8580,9900
3/28/2016,41170,20810
3/29/2016,51920,20360
3/30/2016,18990,24080
3/31/2016,32100,17480
4/1/2016,21380,40060
4/2/2016,10780,17040
4/3/2016,8420,7160
4/4/2016,30140,28470
4/5/2016,33200,27200
4/6/2016,39070,25740
4/7/2016,35610,60500
4/8/2016,24150,40920
4/9/2016,14380,33080
4/10/2016,12180,13350
4/11/2016,53200,23980
4/12/2016,74770,33650
4/13/2016,15310,25690
4/14/2016,18710,22600
4/15/2016,21690,35100
4/16/2016,16140,36340
4/17/2016,14130,27030
4/18/2016,43170,23320
4/19/2016,25730,0
4/20/2016,34060,29070
4/21/2016,54270,29290
4/22/2016,33280,28870
4/23/2016,39670,24160
4/24/2016,17010,13870
4/25/2016,78590,17720
4/26/2016,50880,26390
4/27/2016,35440,26390
4/28/2016,36710,22790
4/29/2016,34090,37260
4/30/2016,25350,21620
5/1/2016,12160,9600
5/2/2016,66650,19390
5/3/2016,34530,19860
5/4/2016,29370,26970
5/5/2016,26910,26150
5/6/2016,28730,31890
5/7/2016,37590,58370
5/8/2016,21220,15970
5/9/2016,50280,45770
5/10/2016,7290,25410
5/11/2016,35430,25980
5/12/2016,21430,36450
5/13/2016,27010,17560
5/14/2016,23700,16240
5/15/2016,25600,31220
5/16/2016,36700,48250
5/17/2016,57340,46840
5/18/2016,36510,24390
5/19/2016,23880,21390
5/20/2016,47440,29950
5/21/2016,39450,43150
5/22/2016,22150,11260
5/23/2016,64830,17320
5/24/2016,65510,15220
5/25/2016,20240,22910
5/26/2016,21250,19150
5/27/2016,27780,28460
5/28/2016,16310,18740
5/29/2016,10960,10550
5/30/2016,76640,34620
5/31/2016,22170,18350
6/1/2016,58400,37070
6/2/2016,40230,28070
6/3/2016,,24030
6/4/2016,13000,24320
6/5/2016,15210,12620
6/6/2016,58840,50240
6/7/2016,67590,86100
6/8/2016,43080,47690
6/9/2016,17100,26370
6/10/2016,23940,20040
6/11/2016,26610,43530
6/12/2016,25040,14600
6/13/2016,26330,35980
6/14/2016,54090,42130
6/15/2016,14340,59060
6/16/2016,62600,33120
6/17/2016,64720,12720
6/18/2016,45290,4900
6/19/2016,24660,28690
6/20/2016,37950,43250
6/21/2016,21410,17930
6/22/2016,21370,21740
