Date,CashIn,CashOut
2016-01-19,8030.0,18000.0
2016-01-20,56670.0,22970.0
2016-01-21,44930.0,13030.0
2016-01-22,47600.0,4110.0
2016-01-23,13180.0,14863.333333333334
2016-01-24,47130.0,7730.0
2016-01-25,32170.0,12730.0
2016-01-26,29350.0,8020.0
2016-01-27,26320.0,17820.0
2016-01-28,45630.0,12060.0
2016-01-29,12670.0,6760.0
2016-01-30,5430.0,3420.0
2016-01-31,15480.0,7280.0
2016-02-01,35310.0,3410.0
2016-02-02,27623.333333333332,22606.666666666668
2016-02-03,37700.0,21836.666666666668
2016-02-04,24940.0,13310.0
2016-02-05,12210.0,25100.0
2016-02-06,21430.0,43020.0
2016-02-07,20270.0,9190.0
2016-02-08,58570.0,20170.0
2016-02-09,19620.0,19520.0
2016-02-10,24570.0,18500.0
2016-02-11,27040.0,11520.0
2016-02-12,32270.0,15820.0
2016-02-13,9110.0,24460.0
2016-02-14,29810.0,12900.0
2016-02-15,38830.0,42540.0
2016-02-16,22890.0,26830.0
2016-02-17,49080.0,27090.0
2016-02-18,25130.0,25190.0
2016-02-19,52020.0,15440.0
2016-02-20,9090.0,7200.0
2016-02-21,16680.0,16030.0
2016-02-22,38880.0,24270.0
2016-02-23,40360.0,21470.0
2016-02-24,39450.0,19920.0
2016-02-25,24100.0,14440.0
2016-02-26,18850.0,13860.0
2016-02-27,20060.0,28830.0
2016-02-28,7510.0,34530.0
2016-02-29,43120.0,18260.0
2016-03-01,31610.0,25390.0
2016-03-02,18640.0,19740.0
2016-03-03,8480.0,12500.0
2016-03-04,41723.333333333336,33930.0
2016-03-05,12906.666666666666,39010.0
2016-03-06,19060.0,9010.0
2016-03-07,45660.0,40060.0
2016-03-08,55980.0,36110.0
2016-03-09,41200.0,40510.0
2016-03-10,40870.0,23640.0
2016-03-11,39970.0,29170.0
2016-03-12,15540.0,36960.0
2016-03-13,21980.0,16100.0
2016-03-14,36040.0,25640.0
2016-03-15,24910.0,45410.0
2016-03-16,55170.0,26370.0
2016-03-17,30180.0,16050.0
2016-03-18,23820.0,14200.0
2016-03-19,15510.0,9760.0
2016-03-20,14060.0,8910.0
2016-03-21,44200.0,25490.0
2016-03-22,62020.0,27930.0
2016-03-23,48700.0,24670.0
2016-03-24,52750.0,12770.0
2016-03-25,61380.0,18080.0
2016-03-26,7670.0,10810.0
2016-03-27,8580.0,9900.0
2016-03-28,41170.0,20810.0
2016-03-29,51920.0,20360.0
2016-03-30,18990.0,24080.0
2016-03-31,32100.0,17480.0
2016-04-01,21380.0,40060.0
2016-04-02,10780.0,17040.0
2016-04-03,8420.0,7160.0
2016-04-04,30140.0,28470.0
2016-04-05,33200.0,27200.0
2016-04-06,39070.0,25740.0
2016-04-07,35610.0,60500.0
2016-04-08,24150.0,40920.0
2016-04-09,14380.0,33080.0
2016-04-10,12180.0,13350.0
2016-04-11,53200.0,23980.0
2016-04-12,74770.0,33650.0
2016-04-13,15310.0,25690.0
2016-04-14,18710.0,22600.0
2016-04-15,21690.0,35100.0
2016-04-16,16140.0,36340.0
2016-04-17,14130.0,27030.0
2016-04-18,43170.0,23320.0
2016-04-19,25730.0,0.0
2016-04-20,34060.0,29070.0
2016-04-21,54270.0,29290.0
2016-04-22,33280.0,28870.0
2016-04-23,39670.0,24160.0
2016-04-24,17010.0,13870.0
2016-04-25,78590.0,17720.0
2016-04-26,50880.0,26390.0
2016-04-27,35440.0,26390.0
2016-04-28,36710.0,22790.0
